,Ticker,Fiscal Year,Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
16034,TTD,2022,2022-12-31,1577795000.0,-281123000.0,1296672000.0,-1183018000.0,-863142000.0,-319876000.0,-434363725.33045274,113654000.0,13716000.0,12755000.0,127370000.0,-113345135.4520958,127370000.0,-73985000.0,53385000,118022468.97815126,53385000,53385000
16035,TTD,2023,2023-12-31,1946120000.0,-365598000.0,1580522000.0,-1380042000.0,-968248000.0,-411794000.0,-434363725.33045274,200480000.0,67515000.0,68508000.0,267995000.0,-113345135.4520958,267995000.0,-89055000.0,178940000,118022468.97815126,178940000,178940000
16039,TTEC,2019,2019-12-31,1643704000.0,-1242887000.0,400817000.0,-271626000.0,-202540000.0,-1046124105.7772971,-69086000.0,129191000.0,-13298000.0,-17200000.0,115893000.0,-5482000.0,110411000.0,-25677000.0,84734000,118022468.97815126,77164000,77164000
16040,TTEC,2020,2020-12-31,1949248000.0,-1452719000.0,496529000.0,-282764000.0,-203902000.0,-1046124105.7772971,-78862000.0,213765000.0,-34424000.0,-15833000.0,179341000.0,-9073000.0,170268000.0,-40937000.0,129331000,118022468.97815126,118648000,118648000
16041,TTEC,2021,2021-12-31,2273062000.0,-1704109000.0,568953000.0,-336700000.0,-239994000.0,-1046124105.7772971,-96706000.0,232253000.0,-9308000.0,-11623000.0,222945000.0,-15061000.0,207884000.0,-49695000.0,158189000,118022468.97815126,140970000,140970000
16042,TTEC,2022,2022-12-31,2443707000.0,-1856518000.0,587189000.0,-399224000.0,-287433000.0,-1046124105.7772971,-111791000.0,187965000.0,-24095000.0,-34256000.0,163870000.0,-19422000.0,144448000.0,-27115000.0,117333000,118022468.97815126,103240000,103240000
16043,TTEC,2023,2023-12-31,2462817000.0,-1932877000.0,529940000.0,-392145000.0,-290873000.0,-1046124105.7772971,-101272000.0,137795000.0,-77297000.0,-73171000.0,60498000.0,-19774000.0,40724000.0,-22460000.0,18264000,118022468.97815126,8428000,8428000
16049,TTGT,2019,2019-12-31,133957000.0,-31858000.0,102099000.0,-79360000.0,-66550000.0,-8107000.0,-4703000.0,22739000.0,-691000.0,-691000.0,22048000.0,-113345135.4520958,22048000.0,-5173000.0,16875000,118022468.97815126,16875000,16875000
16050,TTGT,2020,2020-12-31,148376000.0,-37344000.0,111032000.0,-88211000.0,-74438000.0,-7827000.0,-5946000.0,22821000.0,-317000.0,-118490421.49102229,22504000.0,-113345135.4520958,22504000.0,-5436000.0,17068000,118022468.97815126,17068000,17068000
16051,TTGT,2021,2021-12-31,263427000.0,-71208000.0,192219000.0,-157865000.0,-130732000.0,-11639000.0,-15494000.0,34354000.0,-23275000.0,-118490421.49102229,11079000.0,-113345135.4520958,11079000.0,-10130000.0,949000,118022468.97815126,949000,949000
16052,TTGT,2022,2022-12-31,297488000.0,-78488000.0,219000000.0,-157872000.0,-132682000.0,-12348000.0,-12842000.0,61128000.0,861000.0,-118490421.49102229,61989000.0,-4435000.0,57554000.0,-15945000.0,41609000,118022468.97815126,41609000,41609000
16053,TTGT,2023,2023-12-31,229963000.0,-75537000.0,154426000.0,-156695000.0,-131258000.0,-10911000.0,-14526000.0,-2269000.0,11655000.0,-118490421.49102229,9386000.0,5033000.0,14419000.0,-9958000.0,4461000,118022468.97815126,4461000,4461000
16054,TTI,2019,2019-12-31,561241000.0,-409834000.0,151407000.0,-144029000.0,-96466000.0,-1046124105.7772971,-47563000.0,7378000.0,-19331000.0,-21256000.0,-11953000.0,-116156000.0,-128109000.0,-2811000.0,-130920000,-29580000.0,-147413000,-147413000
16055,TTI,2020,2020-12-31,377715000.0,-271402000.0,106313000.0,-114911000.0,-76697000.0,-1046124105.7772971,-38214000.0,-8598000.0,-15932000.0,-18926000.0,-24530000.0,-556000.0,-25086000.0,-1758000.0,-26844000,-72089000.0,-51143000,-51143000
16056,TTI,2021,2021-12-31,388272000.0,-294952000.0,93320000.0,-108551000.0,-75049000.0,-1046124105.7772971,-33502000.0,-15231000.0,1091000.0,-16377000.0,-14140000.0,-581000.0,-14721000.0,-2084000.0,-16805000,120407000.0,103333000,103333000
16057,TTI,2022,2022-12-31,553213000.0,-400229000.0,152984000.0,-127646000.0,-91942000.0,-6635000.0,-32819000.0,25338000.0,-11368000.0,-15833000.0,13970000.0,-2804000.0,11166000.0,-3565000.0,7601000,195000.0,7839000,7839000
16058,TTI,2023,2023-12-31,626262000.0,-438172000.0,188090000.0,-140188000.0,-96590000.0,-12119000.0,-34329000.0,47902000.0,-13237000.0,-22349000.0,34665000.0,-2966000.0,31699000.0,-6220000.0,25479000,278000.0,25784000,25784000
16059,TTMI,2019,2019-12-31,2133210000.0,-1756033000.0,377177000.0,-262168000.0,-198455000.0,-17937000.0,-45776000.0,115009000.0,-75303000.0,-82087000.0,39706000.0,-5380000.0,34326000.0,-2405000.0,31921000,9380000.0,41301000,41301000
16060,TTMI,2020,2020-12-31,2105322000.0,-1746299000.0,359023000.0,-244967000.0,-186359000.0,-19770000.0,-38838000.0,114056000.0,-74369000.0,-73156000.0,39687000.0,-85964000.0,-46277000.0,29891000.0,-16386000,193921000.0,177535000,177535000
16061,TTMI,2021,2021-12-31,2248740000.0,-1876729000.0,372011000.0,-241775000.0,-187881000.0,-18146000.0,-35748000.0,130236000.0,-40721000.0,-45475000.0,89515000.0,-19462000.0,70053000.0,-15639000.0,54414000,118022468.97815126,54414000,54414000
16062,TTMI,2022,2022-12-31,2495046000.0,-2037081000.0,457965000.0,-295267000.0,-233362000.0,-24808000.0,-37097000.0,162698000.0,-27545000.0,-45517000.0,135153000.0,47710000.0,182863000.0,-88280000.0,94583000,118022468.97815126,94583000,94583000
16063,TTMI,2023,2023-12-31,2232567000.0,-1819299000.0,413268000.0,-302500000.0,-226553000.0,-27272000.0,-48675000.0,110768000.0,-42135000.0,-48124000.0,68633000.0,-68336000.0,297000.0,-19015000.0,-18718000,118022468.97815126,-18718000,-18718000
16064,TTNP,2019,2019-12-31,2605000.0,-5028782503.752925,2678659026.7719755,-10481000.0,-5401000.0,-5080000.0,-434363725.33045274,-7876000.0,-950000.0,-967000.0,-8826000.0,1336000.0,-7490000.0,-150828726.78345707,-7490000,-8968000.0,-16458000,-16458000
16065,TTNP,2020,2020-12-31,4838000.0,-5028782503.752925,2678659026.7719755,-12189000.0,-5801000.0,-5916000.0,-434363725.33045274,-7351000.0,-1027000.0,-769000.0,-8378000.0,971000.0,-7407000.0,-150828726.78345707,-7407000,-10835000.0,-18242000,-18242000
16066,TTNP,2021,2021-12-31,1526000.0,-199000.0,1327000.0,-10681000.0,-4989000.0,-5692000.0,-434363725.33045274,-9354000.0,-83000.0,1000.0,-9437000.0,661000.0,-8776000.0,-150828726.78345707,-8776000,118022468.97815126,-8776000,-8776000
16067,TTNP,2022,2022-12-31,557000.0,-5028782503.752925,2678659026.7719755,-10792000.0,-6034000.0,-4758000.0,-434363725.33045274,-10235000.0,29000.0,53000.0,-10206000.0,-113345135.4520958,-10206000.0,-150828726.78345707,-10206000,118022468.97815126,-10206000,-10206000
16068,TTNP,2023,2023-12-31,184000.0,-5028782503.752925,2678659026.7719755,-7461000.0,-5548000.0,-1913000.0,-434363725.33045274,-7277000.0,-47000.0,5000.0,-7324000.0,1755000.0,-5569000.0,-150828726.78345707,-5569000,118022468.97815126,-5569000,-5569000
16069,TTOO,2019,2019-12-31,8335000.0,-16763000.0,-8428000.0,-43630000.0,-27304000.0,-16326000.0,-434363725.33045274,-52058000.0,-6948000.0,-7348000.0,-59006000.0,-113345135.4520958,-59006000.0,-150828726.78345707,-59006000,118022468.97815126,-59006000,-59006000
16070,TTOO,2020,2020-12-31,18130000.0,-21280000.0,-3150000.0,-38206000.0,-22094000.0,-16112000.0,-434363725.33045274,-41356000.0,-5442000.0,-5504000.0,-46798000.0,-113345135.4520958,-46798000.0,-150828726.78345707,-46798000,118022468.97815126,-46798000,-46798000
16071,TTOO,2021,2021-12-31,28058000.0,-20703000.0,7355000.0,-50328000.0,-28527000.0,-21801000.0,-434363725.33045274,-42973000.0,-7266000.0,-7484000.0,-50239000.0,998000.0,-49241000.0,-150828726.78345707,-49241000,118022468.97815126,-49241000,-49241000
16072,TTOO,2022,2022-12-31,22305000.0,-21010000.0,1295000.0,-56340000.0,-30625000.0,-25715000.0,-434363725.33045274,-55045000.0,-6045000.0,-6084000.0,-61090000.0,-913000.0,-62003000.0,-150828726.78345707,-62003000,118022468.97815126,-62003000,-62333000
16073,TTOO,2023,2023-12-31,7193000.0,-15363000.0,-8170000.0,-38983000.0,-24830000.0,-14153000.0,-434363725.33045274,-47153000.0,-5838000.0,-5343000.0,-52991000.0,2914000.0,-50077000.0,-150828726.78345707,-50077000,118022468.97815126,-50077000,-50077000
16075,TTSH,2019,2019-12-31,340351000.0,-104232000.0,236119000.0,-237476000.0,-237476000.0,-1046124105.7772971,-434363725.33045274,-1357000.0,-3780000.0,-3792000.0,-5137000.0,-113345135.4520958,-5137000.0,674000.0,-4463000,118022468.97815126,-4463000,-4463000
16076,TTSH,2020,2020-12-31,325057000.0,-103532000.0,221525000.0,-215149000.0,-215149000.0,-1046124105.7772971,-434363725.33045274,6376000.0,-1874000.0,-1874000.0,4502000.0,-113345135.4520958,4502000.0,1529000.0,6031000,118022468.97815126,6031000,6031000
16077,TTSH,2021,2021-12-31,370700000.0,-117570000.0,253130000.0,-232520000.0,-232520000.0,-1046124105.7772971,-434363725.33045274,20610000.0,-656000.0,-656000.0,19954000.0,-113345135.4520958,19954000.0,-5180000.0,14774000,118022468.97815126,14774000,14774000
16078,TTSH,2022,2022-12-31,394702000.0,-135765000.0,258937000.0,-236328000.0,-236328000.0,-1046124105.7772971,-434363725.33045274,22609000.0,-1579000.0,-1579000.0,21030000.0,-113345135.4520958,21030000.0,-5327000.0,15703000,118022468.97815126,15703000,15703000
16079,TTSH,2023,2023-12-31,377146000.0,-134085000.0,243061000.0,-226903000.0,-226903000.0,-1046124105.7772971,-434363725.33045274,16158000.0,-2164000.0,-2164000.0,13994000.0,-113345135.4520958,13994000.0,-3923000.0,10071000,118022468.97815126,10071000,10071000
16092,TUSK,2019,2019-12-31,625012000.0,-451206000.0,173806000.0,-256397000.0,-139364000.0,-1046124105.7772971,-117033000.0,-82591000.0,37258000.0,-4958000.0,-45333000.0,-45792000.0,-91125000.0,12081000.0,-79044000,118022468.97815126,-79044000,-79044000
16093,TUSK,2020,2020-12-31,313076000.0,-231603000.0,81473000.0,-162502000.0,-67185000.0,-1046124105.7772971,-95317000.0,-81029000.0,28903000.0,-5397000.0,-52126000.0,-67650000.0,-119776000.0,12169000.0,-107607000,118022468.97815126,-107607000,-107607000
16094,TUSK,2021,2021-12-31,228962000.0,-198326000.0,30636000.0,-156721000.0,-78246000.0,-1046124105.7772971,-78475000.0,-126085000.0,-1252000.0,-118490421.49102229,-127337000.0,3044000.0,-124293000.0,22863000.0,-101430000,118022468.97815126,-101430000,-101430000
