Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ACCD;10384289;USD;2019;FY;2020-02-29;2020-05-07;2022-05-02;46653451;46653451;132507000;-73685000;58822000;-107026000;-56204000;;-8516000;-48204000;-3032000;-2925000;-51236000;;-51236000;-129000;-51365000;;-51365000;-290066699
ACCD;10384289;USD;2020;FY;2021-02-28;2021-05-07;2023-04-28;29370594;29370594;170358000;-93673000;76685000;-123462000;-65295000;;-8212000;-46777000;-3871000;-3719105;-50648000;;-50648000;-4000;-50652000;;-50652000;-50652000
ACCD;10384289;USD;2021;FY;2022-02-28;2022-05-02;2024-04-26;63823270;63823270;310021000;-169019000;141002000;-312143000;-185871000;;-42608000;-171141000;-3038000;-2905000;-128720056;45416000;-128763000;5639000;-123124000;;-123124000;-123124000
ACCD;10384289;USD;2022;FY;2023-02-28;2023-04-28;2024-04-26;71279831;71279831;363142000;-198905000;164237000;-328046000;-180322000;;-46377000;-163809000;240000;255000;-462445522;-299705000;-463274000;3624000;-459650000;;-459650000;-459650000
ACCO;120923;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;99500000;101000000;1955700000;-1322200000;633500000;-425300000;-389900000;;-35400000;208200000;-32700000;-40000000;175500000;-12000000;163500000;-56700000;106800000;;106800000;106800000
ACCO;120923;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;94900000;96100000;1655200000;-1162800000;492400000;-369100000;-336300000;;-32800000;123300000;-33800000;-37800000;89500000;-10900000;78600000;-16600000;62000000;;62000000;62000000
ACCO;120923;USD;2021;FY;2021-12-31;2022-02-23;2024-02-23;95600000;97300000;2025300000;-1410400000;614900000;-438900000;-392600000;;-46300000;176000000;-39600000;-44400000;136400000;-25000000;111400000;-9500000;101900000;;101900000;101900000
ACCO;120923;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;95300000;95300000;1947600000;-1395300000;552300000;-418200000;-376700000;;-41500000;134100000;-19900000;-37300000;114200000;-99300000;14900000;-28100000;-13200000;;-13200000;-13200000
ACCO;120923;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;95300000;95300000;1832800000;-1234500000;598300000;-436900000;-393500000;;-43400000;161400000;-57800000;-51500000;103600000;-116700000;-13100000;-8700000;-21800000;;-21800000;-21800000
ACEL;11795228;USD;2019;FY;2019-12-31;2020-03-16;2022-03-11;61848000;61848000;428696000;-271533761;146688000;-139255061;-94861411;;-26398000;13324508;-12860000;-12860000;-664786;-50016000;-31565000;-5199000;-5862056;;-5849942;-5857179
ACEL;11795228;USD;2020;FY;2020-12-31;2021-03-11;2023-03-01;93471000;94280000;316352000;-211086000;105266000;-129945000;-77420000;;-43577000;-24679000;-13707000;-13707000;-29975156;21058000;-17328000;16918000;-13003803;;-12992045;-12999125
ACEL;11795228;USD;2021;FY;2021-12-31;2022-03-11;2024-02-28;93781000;94638000;734707000;-494032000;240675000;-170483000;-110818000;;-46676000;70192000;-12702000;-12702000;46647828;-10914000;46576000;-15017000;31559000;;31559000;31559000
ACEL;11795228;USD;2022;FY;2022-12-31;2023-03-01;2024-02-28;90629000;91229000;969797000;-670901000;298896000;-202041000;-145942000;;-46779000;96855000;-21637000;-21637000;94935938;19544000;94762000;-20660000;74102000;;74102000;74102000
ACEL;11795228;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;85949000;86803000;1170420000;-817195000;353225000;-245818000;-180248000;;-59117000;107407000;-33144000;-33144000;65664878;-8539000;65724000;-20121000;45603000;;45603000;45603000
ACER;1053636;USD;2019;FY;2019-12-31;2020-03-18;2021-03-01;10092179;10092179;;;;-29897441;-16046423;-13851018;;-29897441;479472;471267;-29417969;;-29417969;;-29417969;;-29417969;-29417969
ACER;1053636;USD;2020;FY;2020-12-31;2021-03-01;2022-03-02;11121039;11121039;;;;-10954923000;-10954923000;;;-10954923000;-11930526000;-11847902000;-22885449000;;-22885449000;;-22885449000;;-22885449000;-22885449000
ACER;1053636;USD;2021;FY;2021-12-31;2022-03-02;2023-03-27;14268245;14268245;1260000;;;-17208389;;;;-15948389;574396;;-15373993;;-15373993;;-15373993;;-15373993;-15373993
ACER;1053636;USD;2022;FY;2022-12-31;2023-03-27;2023-03-27;16089019;16089019;;;;-24614259;;;;-24614259;-148100;;-24762359;-1474956;-26237315;;-26237315;;-26237315;-26237315
ACET;1154966;USD;2019;FY;2019-12-31;2020-03-12;2021-03-12;4902381;4902381;995000;;;-32383000;-8692000;-23691000;;-31388000;3269000;938000;-28119000;;-28119000;-19000;-28138000;;-28138000;-28138000
ACET;1154966;USD;2020;FY;2020-12-31;2021-03-12;2022-03-15;7319977;7319977;17903000;;;-57094000;-22760000;-34334000;;-39191000;-302000;651000;-39493000;;-39493000;2815000;-36678000;;-36678000;-36678000
ACET;1154966;USD;2021;FY;2021-12-31;2022-03-15;2023-03-15;31876016;31876016;9730000;;;-71163000;-22220000;-48943000;;-61433000;-691000;-85000;-62124000;;-62124000;125000;-61999000;;-61999000;-61999000
ACET;1154966;USD;2022;FY;2022-12-31;2023-03-15;2024-03-19;41080286;41080286;24990000;;;-97541000;-26295000;-71246000;;-72551000;2761000;3680000;-69790000;;-69790000;;-69790000;;-69790000;-69790000
ACET;1154966;USD;2023;FY;2023-12-31;2024-03-19;2024-03-19;43042405;43042405;;;;-132576000;-26533000;-106043000;;-132576000;9380000;9953000;-123196000;-19462000;-142658000;;-142658000;;-142658000;-142658000
